rilis;pubid;judul_pre;judul;link
2020/02/21;97ddd93c136a7d29961f11ba;Hasil Survei Kebutuhan Data Provinsi Kalimantan Tengah Tahun 2019;Hasil-Survei-Kebutuhan-Data-Provinsi-Kalimantan-Tengah-Tahun-2019;https://kalteng.bps.go.id/publication/2020/02/21/97ddd93c136a7d29961f11ba/Hasil-Survei-Kebutuhan-Data-Provinsi-Kalimantan-Tengah-Tahun-2019
2020/02/14;a4414166bfab6b617d2f54fa;Berita Resmi Statistik Provinsi Kalimantan Tengah 2019;Berita-Resmi-Statistik-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/02/14/a4414166bfab6b617d2f54fa/Berita-Resmi-Statistik-Provinsi-Kalimantan-Tengah-2019
2020/01/31;572855bf8c35edf9b28acf30;Katalog Publikasi Provinsi Kalimantan Tengah 2019;Katalog-Publikasi-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/01/31/572855bf8c35edf9b28acf30/Katalog-Publikasi-Provinsi-Kalimantan-Tengah-2019
2020/01/24;3fe32d5b3bcb5acc3c722f69;Statistik Prioritas Pembangunan Provinsi Kalimantan tengah 2019;Statistik-Prioritas-Pembangunan-Provinsi-Kalimantan-tengah-2019;https://kalteng.bps.go.id/publication/2020/01/24/3fe32d5b3bcb5acc3c722f69/Statistik-Prioritas-Pembangunan-Provinsi-Kalimantan-tengah-2019
2020/01/07;c97ff78ed09dddb9b5c6c8a2;Indeks Pembangunan Desa Provinsi Kalimantan Tengah 2018;Indeks-Pembangunan-Desa-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2020/01/07/c97ff78ed09dddb9b5c6c8a2/Indeks-Pembangunan-Desa-Provinsi-Kalimantan-Tengah-2018
2020/01/07;acf33799ca9a83c4b6888ef4;Statistik Politik dan Keamanan Provinsi Kalimantan Tengah 2018;Statistik-Politik-dan-Keamanan-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2020/01/07/acf33799ca9a83c4b6888ef4/Statistik-Politik-dan-Keamanan-Provinsi-Kalimantan-Tengah-2018
2019/12/31;e09ecbd4bc3e8e1898a0b7ba;Statistik Industri Besar dan Sedang Provinsi Kalimantan Tengah 2017;Statistik-Industri-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2017;https://kalteng.bps.go.id/publication/2019/12/31/e09ecbd4bc3e8e1898a0b7ba/Statistik-Industri-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2017
2019/12/31;ba19421da2d9aef0c58db54f;Profil Industri Mikro dan Kecil Provinsi Kalimantan Tengah 2018;Profil-Industri-Mikro-dan-Kecil-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/31/ba19421da2d9aef0c58db54f/Profil-Industri-Mikro-dan-Kecil-Provinsi-Kalimantan-Tengah-2018
2019/12/31;38f2c722935fd6db34a7d6ca;Potret Tujuan Pembangunan Berkelanjutan Provinsi Kalimantan Tengah 2018;Potret-Tujuan-Pembangunan-Berkelanjutan-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/31/38f2c722935fd6db34a7d6ca/Potret-Tujuan-Pembangunan-Berkelanjutan-Provinsi-Kalimantan-Tengah-2018
2019/12/30;771c173e7a34252fb7d942c7;Statistik Ketahanan Sosial Provinsi Kalimantan Tengah 2018;Statistik-Ketahanan-Sosial-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/30/771c173e7a34252fb7d942c7/Statistik-Ketahanan-Sosial-Provinsi-Kalimantan-Tengah-2018
2019/12/30;2377cfc407330843a86545a0;Statistik Kesejahteraan Rakyat Provinsi Kalimantan Tengah 2019;Statistik-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2019/12/30/2377cfc407330843a86545a0/Statistik-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2019
2019/12/20;f168ce0b701c2b3f7f232873;Pengeluaran dan Konsumsi Penduduk Provinsi Kalimantan Tengah, Maret 2019;Pengeluaran-dan-Konsumsi-Penduduk-Provinsi-Kalimantan-Tengah--Maret-2019;https://kalteng.bps.go.id/publication/2019/12/20/f168ce0b701c2b3f7f232873/Pengeluaran-dan-Konsumsi-Penduduk-Provinsi-Kalimantan-Tengah--Maret-2019
2019/12/18;c7b1df3671671ba6102869c3;Statistik Keuangan Daerah Provinsi Kalimantan Tengah 2018;Statistik-Keuangan-Daerah-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/18/c7b1df3671671ba6102869c3/Statistik-Keuangan-Daerah-Provinsi-Kalimantan-Tengah-2018
2019/12/13;ec90f1789b8fe67bb31e82af;Statistik Ketenagakerjaan Provinsi Kalimantan Tengah Februari 2019;Statistik-Ketenagakerjaan-Provinsi-Kalimantan-Tengah-Februari-2019;https://kalteng.bps.go.id/publication/2019/12/13/ec90f1789b8fe67bb31e82af/Statistik-Ketenagakerjaan-Provinsi-Kalimantan-Tengah-Februari-2019
2019/12/13;c57d4712bd0a9542602c9448;Laporan Sosial Ekonomi Provinsi Kalimantan Tengah Edisi Desember 2019;Laporan-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-Edisi-Desember-2019;https://kalteng.bps.go.id/publication/2019/12/13/c57d4712bd0a9542602c9448/Laporan-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-Edisi-Desember-2019
2019/12/06;c95d24e9925c566ab124fddf;Statistik Pemotongan Ternak Provinsi Kalimantan Tengah 2018;Statistik-Pemotongan-Ternak-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/06/c95d24e9925c566ab124fddf/Statistik-Pemotongan-Ternak-Provinsi-Kalimantan-Tengah-2018
2019/11/29;bde9b44fd2d601f0f56060f2;Direktori Perusahaan Konstruksi Provinsi Kalimantan Tengah 2019;Direktori-Perusahaan-Konstruksi-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2019/11/29/bde9b44fd2d601f0f56060f2/Direktori-Perusahaan-Konstruksi-Provinsi-Kalimantan-Tengah-2019
